session;created;modified;ended;Language;Geschlecht;Insgesamt;Teamfee_d;Anzahl_Teams;Spielplan;Qualitaet_Essen;Auswahl_Essen;Preis_Essen;Zeit_Spiel;Anzahl_Spiel;Regeln;Musik_Fr;Location_Fr;Publikum_Fr;Musik_Sa;Location_Sa;Publikum_Sa;Gut;Schlecht;LB19d
PpDHcCKyvXFpDLgugPOUC6w0bArACTttW0mOIMhGeY_LJZDaV00vI7RPM0o4CAyc;04.12.2018 21:28;04.12.2018 21:32;04.12.2018 21:32;1;2;4;2;2;4;4;3;4;2;2;;2;4;3;4;4;4;Preis / Leistung ;Preise behalten ;1
PCev6XFYSugh-dLxP8QkPvcEKLkHviVJ4Lfau_0V2GpkWY4A7sAgxGLWmfDSAwiL;05.12.2018 07:01;05.12.2018 08:19;05.12.2018 08:19;1;2;3;2;2;4;4;3;4;2;2;;4;4;4;2;2;3;Die selbstgemachten Pommes, auch wenn sie zu schnell immer ausverkauft waren ;"Die Wartezeiten zwischen den einzelnen spielen waren etwas sehr lang 
";1
L4R3jNal1CxXNkgleAQnzFjkrztR5sDnBPv2XUFWdqDQ72zL-XFCcWfytYe41XQ5;05.12.2018 07:43;05.12.2018 07:48;05.12.2018 07:48;1;1;3;2;2;4;4;4;4;2;2;Kannte die alten vorher nicht;4;4;4;2;4;4;Fußläufige Location am Freitag und Samstag;"Refplan früher

Möglichkeit für Zuschauer auch bei Halle 2 wäre schön

Zwei Anlaufstellen für Frühstück (nicht so ne lange Schlange)";2
Fn-eTLcO4FbGu-_gtfm7qI_Nf39iJyj1Cvm0og94AGSMIgpdDsJ8zADuN0uFxzkA;05.12.2018 09:07;05.12.2018 09:14;05.12.2018 09:14;1;1;3;2;3;4;3;4;4;2;2;Leider nicht so gut. Durch die Zeitstrafen verliert man oft einiges an Spielzeit. Außerdem waren sie oft schwer nachvollziehen, da sie ja erst nach Ballwechsel gepfiffen wurden. Es ist zwar schön dass dadurch nicht ständig abgepfiffen wurde, aber einen Vorteil laufen lassen funktioniert nach den normalen Regeln ja auch.  Uns würde es freuen wenn wieder nach den normalen Regeln gespielt wird.;4;3;4;4;3;4;Der digitale Spielplan und die entsprechende Verspätung in den einzelnen Hallen. So wusste man ungefähr wann man dran ist und war immer auf dem aktuellen Stand.;Der Spielplan wurde meines Wissens während dem Turnier häufiger mal geändert. Das war leicht verwirrend aber hatte sicher seine Gründe. Und, wie oben schon erwähnt, die Damenregeln. ;2
YxB5FtAjk__UoaJ0FVHg_nHPo1-vRURg7IHcvE630RkmGVSvq6fz5jCTA7aVCAB2;05.12.2018 11:04;05.12.2018 11:07;05.12.2018 11:07;1;1;4;2;2;3;4;4;3;2;2;Gut;3;3;3;2;3;3;Die Stimmung ;Es ist schade, dass man den Schlafplätze räumen muss, aber da kann man wohl nichts ändern.;1
QxWV0TNMsEmfie_MxKioz6D9Exxd7DemcRdxdE8t-p0QKdRnpG9-2n8FsRcN1eR9;05.12.2018 11:23;05.12.2018 11:25;05.12.2018 11:25;1;2;4;3;2;2;3;3;3;2;2;;3;3;3;3;3;3;gute Stimmung;-;1
5Ves59pm-GK_40QmXRn10u9mBEzz9c5o8tuSyFhDQ8gTc0BJpUhituLObmRRC_9u;05.12.2018 12:10;05.12.2018 12:14;05.12.2018 12:14;1;2;4;3;2;1;3;4;4;2;1;;3;3;3;1;3;3;Die Orga im großen und ganzem war sehr gut;"Den Spielplan übersichtlicher und einfacher Verständlich machen.
Die Türen der Umkleidekabinen zu den Spielfeldern abschließen, damit keiner während der Spiele auf die Felder läuft oder während Checks die Türen aufgehen und sich jemand verletzt";1
o_IgdGx_VfsIQ662yZbo3RqWRE3sxJMesDZDvvEwujcftCA-ICVjEPKpijsQRfuf;05.12.2018 21:13;05.12.2018 21:19;05.12.2018 21:19;1;1;4;2;2;4;4;4;4;2;2;Das Laufen nach dem Abpfiff war gewöhnungsbedürftig. Ebenso das kein Selfstart möglich war. Aber im Grössen und Ganzen wären die neuen Regeln interessant und das spielen hat sehr viel Spass gemacht.;3;3;3;2;3;3;Super Organisation (auch schon im Vorfeld). Man war immer informiert und konnte sich vorbereiten.;Macht weiter so!;1
_8ezXr3Vm6DDf_f-N8DqK0rZ5S9o7a2iPaUjxNWC2NXCAUYgASYrF8Jrcq4MmC2Z;06.12.2018 18:26;06.12.2018 18:30;06.12.2018 18:30;1;2;4;2;1;3;3;4;4;1;1;;4;4;4;2;2;4;Atmosphere;Stauraum für Klamotten/Schlafmaterialien;1
PUie-eXagU743gNOzyWaywtZ8E4FFG-KmOtYaZz1FyLL9362oGSPDJo5wkh5jEll;07.12.2018 08:39;07.12.2018 08:41;07.12.2018 08:41;1;2;4;2;2;2;4;3;4;2;2;;3;3;3;3;3;3;Die Organisation;Unterschiedliche Spielpläne anpassen (Pointbench und der vorab hochgeladene Spielplan haben sich unterschieden;1
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
